ElementID,Verdict,PropID,CentroidX,CentroidY,CentroidZ,MinEdge_mm,AspectRatio,MaxAngle_deg,Action
533903,COLLAPSED_TO_LINE,22,-38575.697,1316.966,9074.177,0,92259.519,270,MANUAL_delete
533904,COLLAPSED_TO_LINE,22,-38670.608,1390.086,9074.177,0,92259.519,270,MANUAL_delete
533905,COLLAPSED_TO_LINE,22,-38702.244,1414.46,9074.177,0,92259.519,270,MANUAL_delete
533906,COLLAPSED_TO_LINE,22,-38733.881,1438.833,9074.177,0,92259.519,270,MANUAL_delete
533907,COLLAPSED_TO_LINE,22,-38512.424,1268.219,9074.177,0,92259.519,270,MANUAL_delete
533908,COLLAPSED_TO_LINE,22,-38480.787,1243.845,9074.177,0,92259.519,270,MANUAL_delete
533909,COLLAPSED_TO_LINE,22,-38449.15,1219.472,9074.177,0,92259.519,270,MANUAL_delete
533910,COLLAPSED_TO_LINE,22,-38417.513,1195.098,9074.177,0,92259.519,270,MANUAL_delete
533911,COLLAPSED_TO_LINE,22,-38385.876,1170.725,9074.177,0,92259.519,270,MANUAL_delete
533912,COLLAPSED_TO_LINE,22,-38354.239,1146.351,9074.177,0,92259.519,270,MANUAL_delete
533913,COLLAPSED_TO_LINE,22,-38860.428,1536.327,9074.177,0,92259.519,270,MANUAL_delete
533914,COLLAPSED_TO_LINE,22,-38892.065,1560.701,9074.177,0,92259.519,270,MANUAL_delete
533915,COLLAPSED_TO_LINE,22,-38923.702,1585.074,9074.177,0,92259.513,270,MANUAL_delete
533916,COLLAPSED_TO_LINE,22,-38828.792,1511.954,9074.177,0,92259.519,270,MANUAL_delete
533917,COLLAPSED_TO_LINE,22,-38797.155,1487.58,9074.177,0,92259.519,270,MANUAL_delete
533918,COLLAPSED_TO_LINE,22,-38765.518,1463.207,9074.177,0,92259.519,270,MANUAL_delete
533919,COLLAPSED_TO_LINE,22,-39018.613,1658.195,9074.177,0,92259.519,270,MANUAL_delete
533920,COLLAPSED_TO_LINE,22,-38986.976,1633.821,9074.177,0,92259.519,270,MANUAL_delete
533921,COLLAPSED_TO_LINE,22,-38955.339,1609.448,9074.177,0,92259.519,270,MANUAL_delete
533922,COLLAPSED_TO_LINE,22,-39050.249,1682.568,9074.177,0,92259.513,270,MANUAL_delete
533923,COLLAPSED_TO_LINE,22,-39081.886,1706.942,9074.177,0,92259.519,270,MANUAL_delete
